"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.impots.nc/61.5.212.17","443","INFO","HTTP","",""
"pre_128cipher","www.impots.nc/61.5.212.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.impots.nc/61.5.212.17","443","OK","not offered","",""
"SSLv3","www.impots.nc/61.5.212.17","443","OK","not offered","",""
"TLS1","www.impots.nc/61.5.212.17","443","INFO","not offered","",""
"TLS1_1","www.impots.nc/61.5.212.17","443","INFO","not offered","",""
"TLS1_2","www.impots.nc/61.5.212.17","443","OK","offered","",""
"TLS1_3","www.impots.nc/61.5.212.17","443","OK","offered with final","",""
"ALPN","www.impots.nc/61.5.212.17","443","INFO","http/1.1","",""
"cipherlist_NULL","www.impots.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.impots.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.impots.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.impots.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.impots.nc/61.5.212.17","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","www.impots.nc/61.5.212.17","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.impots.nc/61.5.212.17","443","OK","offered","",""
"cipherlist_STRONG","www.impots.nc/61.5.212.17","443","OK","offered","",""
"cipher_order","www.impots.nc/61.5.212.17","443","OK","server","",""
"protocol_negotiated","www.impots.nc/61.5.212.17","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","www.impots.nc/61.5.212.17","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","www.impots.nc/61.5.212.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","www.impots.nc/61.5.212.17","443","OK","offered","",""
"FS_ciphers","www.impots.nc/61.5.212.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","www.impots.nc/61.5.212.17","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.impots.nc/61.5.212.17","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.impots.nc/61.5.212.17","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.impots.nc/61.5.212.17","443","INFO","yes","",""
"sessionresumption_ticket","www.impots.nc/61.5.212.17","443","INFO","supported","",""
"sessionresumption_ID","www.impots.nc/61.5.212.17","443","INFO","supported","",""
"TLS_timestamp","www.impots.nc/61.5.212.17","443","INFO","random","",""
"clientAuth","www.impots.nc/61.5.212.17","443","INFO","none","",""
"cert_numbers","www.impots.nc/61.5.212.17","443","INFO","1","",""
"cert_signatureAlgorithm","www.impots.nc/61.5.212.17","443","OK","SHA256 with RSA","",""
"cert_keySize","www.impots.nc/61.5.212.17","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.impots.nc/61.5.212.17","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.impots.nc/61.5.212.17","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.impots.nc/61.5.212.17","443","INFO","4FC3FA23CF66FE8EE6B58A6C40D4D1A4","",""
"cert_fingerprintSHA1","www.impots.nc/61.5.212.17","443","INFO","132971B6779A905E630B3D7CD844FB4AE8A1BA15","",""
"cert_fingerprintSHA256","www.impots.nc/61.5.212.17","443","INFO","E597DB786783C843DD30111E34F4FB680965B2D8178B4A94A96E0E2001C233D3","",""
