"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","connect.gouv.nc/61.5.212.17","443","INFO","HTTP","",""
"pre_128cipher","connect.gouv.nc/61.5.212.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","connect.gouv.nc/61.5.212.17","443","OK","not offered","",""
"SSLv3","connect.gouv.nc/61.5.212.17","443","OK","not offered","",""
"TLS1","connect.gouv.nc/61.5.212.17","443","INFO","not offered","",""
"TLS1_1","connect.gouv.nc/61.5.212.17","443","INFO","not offered","",""
"TLS1_2","connect.gouv.nc/61.5.212.17","443","OK","offered","",""
"TLS1_3","connect.gouv.nc/61.5.212.17","443","OK","offered with final","",""
"ALPN","connect.gouv.nc/61.5.212.17","443","INFO","http/1.1","",""
"cipherlist_NULL","connect.gouv.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","connect.gouv.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","connect.gouv.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","connect.gouv.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","connect.gouv.nc/61.5.212.17","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","connect.gouv.nc/61.5.212.17","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","connect.gouv.nc/61.5.212.17","443","OK","offered","",""
"cipherlist_STRONG","connect.gouv.nc/61.5.212.17","443","OK","offered","",""
"cipher_order","connect.gouv.nc/61.5.212.17","443","OK","server","",""
"protocol_negotiated","connect.gouv.nc/61.5.212.17","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","connect.gouv.nc/61.5.212.17","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","connect.gouv.nc/61.5.212.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","connect.gouv.nc/61.5.212.17","443","OK","offered","",""
"FS_ciphers","connect.gouv.nc/61.5.212.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","connect.gouv.nc/61.5.212.17","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","connect.gouv.nc/61.5.212.17","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","connect.gouv.nc/61.5.212.17","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","connect.gouv.nc/61.5.212.17","443","INFO","yes","",""
"sessionresumption_ticket","connect.gouv.nc/61.5.212.17","443","INFO","supported","",""
"sessionresumption_ID","connect.gouv.nc/61.5.212.17","443","INFO","supported","",""
"TLS_timestamp","connect.gouv.nc/61.5.212.17","443","INFO","random","",""
"clientAuth","connect.gouv.nc/61.5.212.17","443","INFO","none","",""
"cert_numbers","connect.gouv.nc/61.5.212.17","443","INFO","1","",""
"cert_signatureAlgorithm","connect.gouv.nc/61.5.212.17","443","OK","SHA256 with RSA","",""
"cert_keySize","connect.gouv.nc/61.5.212.17","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","connect.gouv.nc/61.5.212.17","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","connect.gouv.nc/61.5.212.17","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","connect.gouv.nc/61.5.212.17","443","INFO","25C18DA2E3A05A99F80BFA7C891FCEF1","",""
"cert_fingerprintSHA1","connect.gouv.nc/61.5.212.17","443","INFO","742CC8CC43B8BAFF0083697FEB54FA329A3D5A74","",""
"cert_fingerprintSHA256","connect.gouv.nc/61.5.212.17","443","INFO","032D1FB809F12FEC3D40C18A207F379393CAE1B8FA4ABB27A7C79C472E0A51D9","",""
