"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","connect.gouv.nc/61.5.212.17","443","INFO","HTTP","",""
"pre_128cipher","connect.gouv.nc/61.5.212.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","connect.gouv.nc/61.5.212.17","443","OK","not offered","",""
"SSLv3","connect.gouv.nc/61.5.212.17","443","OK","not offered","",""
"TLS1","connect.gouv.nc/61.5.212.17","443","INFO","not offered","",""
"TLS1_1","connect.gouv.nc/61.5.212.17","443","INFO","not offered","",""
"TLS1_2","connect.gouv.nc/61.5.212.17","443","OK","offered","",""
"TLS1_3","connect.gouv.nc/61.5.212.17","443","OK","offered with final","",""
"ALPN","connect.gouv.nc/61.5.212.17","443","INFO","http/1.1","",""
"cipherlist_NULL","connect.gouv.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","connect.gouv.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","connect.gouv.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","connect.gouv.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","connect.gouv.nc/61.5.212.17","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","connect.gouv.nc/61.5.212.17","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","connect.gouv.nc/61.5.212.17","443","INFO","not offered","",""
"cipherlist_STRONG_FS","connect.gouv.nc/61.5.212.17","443","OK","offered","",""
"cipher_order-tls1_2","connect.gouv.nc/61.5.212.17","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","connect.gouv.nc/61.5.212.17","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","connect.gouv.nc/61.5.212.17","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","connect.gouv.nc/61.5.212.17","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","connect.gouv.nc/61.5.212.17","443","INFO","NOT a cipher order configured","",""
"FS","connect.gouv.nc/61.5.212.17","443","OK","offered","",""
"FS_ciphers","connect.gouv.nc/61.5.212.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","connect.gouv.nc/61.5.212.17","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","connect.gouv.nc/61.5.212.17","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","connect.gouv.nc/61.5.212.17","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","connect.gouv.nc/61.5.212.17","443","INFO","yes","",""
"sessionresumption_ticket","connect.gouv.nc/61.5.212.17","443","INFO","supported","",""
"sessionresumption_ID","connect.gouv.nc/61.5.212.17","443","INFO","supported","",""
"TLS_timestamp","connect.gouv.nc/61.5.212.17","443","INFO","random","",""
"certificate_compression","connect.gouv.nc/61.5.212.17","443","INFO","none","",""
"clientAuth","connect.gouv.nc/61.5.212.17","443","INFO","none","",""
"cert_numbers","connect.gouv.nc/61.5.212.17","443","INFO","1","",""
"cert_signatureAlgorithm","connect.gouv.nc/61.5.212.17","443","OK","SHA256 with RSA","",""
"cert_keySize","connect.gouv.nc/61.5.212.17","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","connect.gouv.nc/61.5.212.17","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","connect.gouv.nc/61.5.212.17","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","connect.gouv.nc/61.5.212.17","443","INFO","0402C68EA1033B27547EBD42E35A0C8E6E42","",""
"cert_serialNumberLen","connect.gouv.nc/61.5.212.17","443","INFO","18","",""
"cert_fingerprintSHA1","connect.gouv.nc/61.5.212.17","443","INFO","30C48D634D8DCA8E7C96C0A0875D9DCDBAB088B9","",""
"cert_fingerprintSHA256","connect.gouv.nc/61.5.212.17","443","INFO","E190D9B8ED01CABF9D4D84A728436DC885179AC29A49B2A6C8CFCB63BE7D0199","",""
