"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","guichet-entreprises.nc/61.5.212.17","443","INFO","HTTP","",""
"pre_128cipher","guichet-entreprises.nc/61.5.212.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","guichet-entreprises.nc/61.5.212.17","443","OK","not offered","",""
"SSLv3","guichet-entreprises.nc/61.5.212.17","443","OK","not offered","",""
"TLS1","guichet-entreprises.nc/61.5.212.17","443","INFO","not offered","",""
"TLS1_1","guichet-entreprises.nc/61.5.212.17","443","INFO","not offered","",""
"TLS1_2","guichet-entreprises.nc/61.5.212.17","443","OK","offered","",""
"TLS1_3","guichet-entreprises.nc/61.5.212.17","443","OK","offered with final","",""
"ALPN","guichet-entreprises.nc/61.5.212.17","443","INFO","http/1.1","",""
"cipherlist_NULL","guichet-entreprises.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","guichet-entreprises.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","guichet-entreprises.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","guichet-entreprises.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","guichet-entreprises.nc/61.5.212.17","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","guichet-entreprises.nc/61.5.212.17","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","guichet-entreprises.nc/61.5.212.17","443","OK","offered","",""
"cipherlist_STRONG","guichet-entreprises.nc/61.5.212.17","443","OK","offered","",""
"cipher_order","guichet-entreprises.nc/61.5.212.17","443","OK","server","",""
"protocol_negotiated","guichet-entreprises.nc/61.5.212.17","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","guichet-entreprises.nc/61.5.212.17","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","guichet-entreprises.nc/61.5.212.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","guichet-entreprises.nc/61.5.212.17","443","OK","offered","",""
"FS_ciphers","guichet-entreprises.nc/61.5.212.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","guichet-entreprises.nc/61.5.212.17","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","guichet-entreprises.nc/61.5.212.17","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","guichet-entreprises.nc/61.5.212.17","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","guichet-entreprises.nc/61.5.212.17","443","INFO","yes","",""
"sessionresumption_ticket","guichet-entreprises.nc/61.5.212.17","443","INFO","supported","",""
"sessionresumption_ID","guichet-entreprises.nc/61.5.212.17","443","INFO","supported","",""
"TLS_timestamp","guichet-entreprises.nc/61.5.212.17","443","INFO","random","",""
"clientAuth","guichet-entreprises.nc/61.5.212.17","443","INFO","none","",""
"cert_numbers","guichet-entreprises.nc/61.5.212.17","443","INFO","1","",""
"cert_signatureAlgorithm","guichet-entreprises.nc/61.5.212.17","443","OK","SHA256 with RSA","",""
"cert_keySize","guichet-entreprises.nc/61.5.212.17","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","guichet-entreprises.nc/61.5.212.17","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","guichet-entreprises.nc/61.5.212.17","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","guichet-entreprises.nc/61.5.212.17","443","INFO","C61652D68FB0AF17499B9F740A99236D","",""
"cert_fingerprintSHA1","guichet-entreprises.nc/61.5.212.17","443","INFO","1950C56E3488B0E79A1208BE7CD61C93370DAA2A","",""
"cert_fingerprintSHA256","guichet-entreprises.nc/61.5.212.17","443","INFO","77189E8591E550405E1DEDA466E3A7CD81EAC38AFCCB83B52069A0C4FFB8501F","",""
