"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","guichet-entreprises.nc/61.5.212.17","443","INFO","HTTP","",""
"pre_128cipher","guichet-entreprises.nc/61.5.212.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","guichet-entreprises.nc/61.5.212.17","443","OK","not offered","",""
"SSLv3","guichet-entreprises.nc/61.5.212.17","443","OK","not offered","",""
"TLS1","guichet-entreprises.nc/61.5.212.17","443","INFO","not offered","",""
"TLS1_1","guichet-entreprises.nc/61.5.212.17","443","INFO","not offered","",""
"TLS1_2","guichet-entreprises.nc/61.5.212.17","443","OK","offered","",""
"TLS1_3","guichet-entreprises.nc/61.5.212.17","443","OK","offered with final","",""
"ALPN","guichet-entreprises.nc/61.5.212.17","443","INFO","http/1.1","",""
"cipherlist_NULL","guichet-entreprises.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","guichet-entreprises.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","guichet-entreprises.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","guichet-entreprises.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","guichet-entreprises.nc/61.5.212.17","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","guichet-entreprises.nc/61.5.212.17","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","guichet-entreprises.nc/61.5.212.17","443","OK","offered","",""
"cipherlist_STRONG","guichet-entreprises.nc/61.5.212.17","443","OK","offered","",""
"cipher_order","guichet-entreprises.nc/61.5.212.17","443","OK","server","",""
"protocol_negotiated","guichet-entreprises.nc/61.5.212.17","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","guichet-entreprises.nc/61.5.212.17","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","guichet-entreprises.nc/61.5.212.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","guichet-entreprises.nc/61.5.212.17","443","OK","offered","",""
