"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","monportailrh.nc/61.5.212.17","443","INFO","HTTP","",""
"pre_128cipher","monportailrh.nc/61.5.212.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","monportailrh.nc/61.5.212.17","443","OK","not offered","",""
"SSLv3","monportailrh.nc/61.5.212.17","443","OK","not offered","",""
"TLS1","monportailrh.nc/61.5.212.17","443","INFO","not offered","",""
"TLS1_1","monportailrh.nc/61.5.212.17","443","INFO","not offered","",""
"TLS1_2","monportailrh.nc/61.5.212.17","443","OK","offered","",""
"TLS1_3","monportailrh.nc/61.5.212.17","443","OK","offered with final","",""
"ALPN","monportailrh.nc/61.5.212.17","443","INFO","http/1.1","",""
"cipherlist_NULL","monportailrh.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","monportailrh.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","monportailrh.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","monportailrh.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","monportailrh.nc/61.5.212.17","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","monportailrh.nc/61.5.212.17","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","monportailrh.nc/61.5.212.17","443","OK","offered","",""
"cipherlist_STRONG","monportailrh.nc/61.5.212.17","443","OK","offered","",""
"cipher_order","monportailrh.nc/61.5.212.17","443","OK","server","",""
"protocol_negotiated","monportailrh.nc/61.5.212.17","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","monportailrh.nc/61.5.212.17","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","monportailrh.nc/61.5.212.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","monportailrh.nc/61.5.212.17","443","OK","offered","",""
"FS_ciphers","monportailrh.nc/61.5.212.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","monportailrh.nc/61.5.212.17","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","monportailrh.nc/61.5.212.17","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","monportailrh.nc/61.5.212.17","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","monportailrh.nc/61.5.212.17","443","INFO","yes","",""
"sessionresumption_ticket","monportailrh.nc/61.5.212.17","443","INFO","supported","",""
"sessionresumption_ID","monportailrh.nc/61.5.212.17","443","INFO","supported","",""
"TLS_timestamp","monportailrh.nc/61.5.212.17","443","INFO","random","",""
"clientAuth","monportailrh.nc/61.5.212.17","443","INFO","none","",""
"cert_numbers","monportailrh.nc/61.5.212.17","443","INFO","1","",""
"cert_signatureAlgorithm","monportailrh.nc/61.5.212.17","443","OK","SHA256 with RSA","",""
"cert_keySize","monportailrh.nc/61.5.212.17","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","monportailrh.nc/61.5.212.17","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","monportailrh.nc/61.5.212.17","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","monportailrh.nc/61.5.212.17","443","INFO","BE22C3B713FEE0CE623B7D51CB5F0A43","",""
"cert_fingerprintSHA1","monportailrh.nc/61.5.212.17","443","INFO","0DBD8623B605FF31C360D52DE618FF908244A393","",""
"cert_fingerprintSHA256","monportailrh.nc/61.5.212.17","443","INFO","FEBD1697745BF83907A766F61D77119E098D31DD57A4ED47B31330541FD47CBA","",""
