"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","service-public.nc/61.5.212.17","443","INFO","HTTP","",""
"pre_128cipher","service-public.nc/61.5.212.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","service-public.nc/61.5.212.17","443","OK","not offered","",""
"SSLv3","service-public.nc/61.5.212.17","443","OK","not offered","",""
"TLS1","service-public.nc/61.5.212.17","443","INFO","not offered","",""
"TLS1_1","service-public.nc/61.5.212.17","443","INFO","not offered","",""
"TLS1_2","service-public.nc/61.5.212.17","443","OK","offered","",""
"TLS1_3","service-public.nc/61.5.212.17","443","OK","offered with final","",""
"ALPN","service-public.nc/61.5.212.17","443","INFO","http/1.1","",""
"cipherlist_NULL","service-public.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","service-public.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","service-public.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","service-public.nc/61.5.212.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","service-public.nc/61.5.212.17","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","service-public.nc/61.5.212.17","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","service-public.nc/61.5.212.17","443","OK","offered","",""
"cipherlist_STRONG","service-public.nc/61.5.212.17","443","OK","offered","",""
"cipher_order","service-public.nc/61.5.212.17","443","OK","server","",""
"protocol_negotiated","service-public.nc/61.5.212.17","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","service-public.nc/61.5.212.17","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","service-public.nc/61.5.212.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","service-public.nc/61.5.212.17","443","OK","offered","",""
